Sdex	Ndex	MS	Pokémon	Type
#199	#466	Electivire	Electivire	Electric
#202	#467	Magmortar	Magmortar	Fire
#175	#468	Togekiss	Togekiss	Fairy	Flying
#184	#469	Yanmega	Yanmega	Bug	Flying
#169	#470	Leafeon	Leafeon	Grass
#170	#471	Glaceon	Glaceon	Ice
#154	#472	Gliscor	Gliscor	Ground	Flying
#205	#473	Mamoswine	Mamoswine	Ice	Ground
#194	#474	Porygon-Z	Porygon-Z	Normal
#160	#475	Gallade	Gallade	Psychic	Fighting
#156	#476	Probopass	Probopass	Rock	Steel
#191	#477	Dusknoir	Dusknoir	Ghost
#208	#478	Froslass	Froslass	Ice	Ghost
#152	#479	Rotom	Rotom	Electric	Ghost
#152	#479	Rotom	Rotom	Electric	Fire
#152	#479	Rotom	Rotom	Electric	Water
#152	#479	Rotom	Rotom	Electric	Ice
#152	#479	Rotom	Rotom	Electric	Flying
#152	#479	Rotom	Rotom	Electric	Grass
#146	#480	Uxie	Uxie	Psychic
#147	#481	Mesprit	Mesprit	Psychic
#148	#482	Azelf	Azelf	Psychic
#149	#483	Dialga	Dialga	Steel	Dragon
#150	#484	Palkia	Palkia	Water	Dragon
 	#485	Heatran	Heatran	Fire	Steel
 	#486	Regigigas	Regigigas	Normal
#210	#487	Giratina	Giratina	Ghost	Dragon
#210	#487	Giratina	Giratina	Ghost	Dragon
 	#488	Cresselia	Cresselia	Psychic
 	#489	Phione	Phione	Water
#151	#490	Manaphy	Manaphy	Water
 	#491	Darkrai	Darkrai	Dark
 	#492	Shaymin	Shaymin	Grass
 	#492	Shaymin	Shaymin	Grass	Flying
 	#493	Arceus	Arceus	Normal
