#140	#349	Feebas	Feebas	Water
#141	#350	Milotic	Milotic	Water
#142	#351	Castform	Castform	Normal
#142	#351	Castform	Castform	Fire
#142	#351	Castform	Castform	Water
#142	#351	Castform	Castform	Ice
#145	#352	Kecleon	Kecleon	Normal
#146	#353	Shuppet	Shuppet	Ghost
#147	#354	Banette	Banette	Ghost
#148	#355	Duskull	Duskull	Ghost
#149	#356	Dusclops	Dusclops	Ghost
#150	#357	Tropius	Tropius	Grass	Flying
#151	#358	Chimecho	Chimecho	Psychic
#152	#359	Absol	Absol	Dark
#160	#360	Wynaut	Wynaut	Psychic
#171	#361	Snorunt	Snorunt	Ice
#172	#362	Glalie	Glalie	Ice
#173	#363	Spheal	Spheal	Ice	Water
#174	#364	Sealeo	Sealeo	Ice	Water
#175	#365	Walrein	Walrein	Ice	Water
#176	#366	Clamperl	Clamperl	Water
#177	#367	Huntail	Huntail	Water
#178	#368	Gorebyss	Gorebyss	Water
#179	#369	Relicanth	Relicanth	Water	Rock
#183	#370	Luvdisc	Luvdisc	Water
#187	#371	Bagon	Bagon	Dragon
#188	#372	Shelgon	Shelgon	Dragon
#189	#373	Salamence	Salamence	Dragon	Flying
#190	#374	Beldum	Beldum	Steel	Psychic
#191	#375	Metang	Metang	Steel	Psychic
#192	#376	Metagross	Metagross	Steel	Psychic
#193	#377	Regirock	Regirock	Rock
#194	#378	Regice	Regice	Ice
#195	#379	Registeel	Registeel	Steel
#196	#380	Latias	Latias	Dragon	Psychic
#197	#381	Latios	Latios	Dragon	Psychic
#198	#382	Kyogre	Kyogre	Water
#199	#383	Groudon	Groudon	Ground
#200	#384	Rayquaza	Rayquaza	Dragon	Flying
#201	#385	Jirachi	Jirachi	Steel	Psychic
#202	#386	Deoxys	Deoxys	Psychic
#202	#386	Deoxys	Deoxys	Psychic
#202	#386	Deoxys	Deoxys	Psychic
#202	#386	Deoxys	Deoxys	Psychic
